candidate,filter,filter_conditions,feature_set,direction,trades,net_points,win_rate,payoff_ratio_r,avg_win_points,avg_loss_points,profit_factor,avg_points,max_drawdown_points,net_to_drawdown,folds,positive_fold_rate,min_fold_net_points,baseline_trades,baseline_net_points,baseline_win_rate,baseline_payoff_ratio_r,net_improvement,retained_trade_rate,evidence_type,robust_score
bar_best_breakout_retest_lb60_thr0.0002_hold15_long_us_late,entry_candle_up,entry_candle_sideequp,bar_best_breakout_retest_lb60_thr0.0002_hold15_long_us_late + entry_candle_up,long,83,1082.875,0.5301204819277109,2.7451310490526177,36.34659090909091,13.240384615384615,3.0970709271362864,13.046686746987952,95.0,11.398684210526316,4,1.0,3.625,131,-162.375,0.5190839694656488,0.8572052475666526,1245.25,0.6335877862595419,state_filtered,41.58769813908667
bar_best_momentum_lb60_thr0.001_hold15_long_us_late,trend_120_down,trend_side_120eqdown,bar_best_momentum_lb60_thr0.001_hold15_long_us_late + trend_120_down,long,90,1789.75,0.5444444444444444,2.329615360162757,56.99744897959184,24.466463414634145,2.78417445482866,19.886111111111113,201.875,8.865634674922601,5,1.0,208.25,426,1989.75,0.5328638497652582,1.1072103674347258,-200.0,0.2112676056338028,state_filtered,34.254309521808395
bar_best_momentum_lb60_thr0.0006_hold30_long_us_late,return_1m_negative,return_1m_sideeqnegative,bar_best_momentum_lb60_thr0.0006_hold30_long_us_late + return_1m_negative,long,109,2543.125,0.5412844036697247,2.3935054592320597,66.73093220338983,27.88,2.8243364418938306,23.331422018348626,385.75,6.592676604018147,5,1.0,97.375,372,4563.75,0.5376344086021505,1.3822307231721112,-2020.625,0.29301075268817206,state_filtered,32.62369885947152
bar_best_breakout_retest_lb60_thr0.0002_hold15_long_us_late,return_1m_positive,return_1m_sideeqpositive,bar_best_breakout_retest_lb60_thr0.0002_hold15_long_us_late + return_1m_positive,long,81,999.125,0.5308641975308642,2.3770785191012345,36.98546511627907,15.55921052631579,2.6898520084566595,12.334876543209877,159.0,6.283805031446541,4,0.75,-10.75,131,-162.375,0.5190839694656488,0.8572052475666526,1161.5,0.6183206106870229,state_filtered,29.983402571051478
bar_best_mean_reversion_lb10_thr1_hold30_long_us_late,z_30_positive,z_30gt0.0,bar_best_mean_reversion_lb10_thr1_hold30_long_us_late + z_30_positive,long,139,2777.125,0.5827338129496403,1.6484411970287016,60.61574074074074,36.77155172413793,2.302133395850428,19.97931654676259,467.5,5.940374331550802,2,1.0,808.75,369,4483.875,0.5284552845528455,1.4234897632487993,-1706.75,0.37669376693766937,state_filtered,24.94037358194536
bar_best_support_reclaim_lb15_thr0.0002_hold60_short_us_late,return_1m_positive,return_1m_sideeqpositive,bar_best_support_reclaim_lb15_thr0.0002_hold60_short_us_late + return_1m_positive,short,98,4135.5,0.5918367346938775,1.4445202463282352,136.44396551724137,94.45625,2.0945543571759413,42.19897959183673,591.375,6.993024730500951,2,1.0,806.0,173,2602.875,0.5606936416184971,1.0323980277902287,1532.625,0.5664739884393064,state_filtered,23.844501894812232
bar_best_support_reclaim_lb15_thr0.0005_hold60_short_us_late,return_1m_positive,return_1m_sideeqpositive,bar_best_support_reclaim_lb15_thr0.0005_hold60_short_us_late + return_1m_positive,short,98,4135.5,0.5918367346938775,1.4445202463282352,136.44396551724137,94.45625,2.0945543571759413,42.19897959183673,591.375,6.993024730500951,2,1.0,806.0,173,2602.875,0.5606936416184971,1.0323980277902287,1532.625,0.5664739884393064,state_filtered,23.844501894812232
bar_best_support_reclaim_lb15_thr0.001_hold60_short_us_late,return_1m_positive,return_1m_sideeqpositive,bar_best_support_reclaim_lb15_thr0.001_hold60_short_us_late + return_1m_positive,short,98,4135.5,0.5918367346938775,1.4445202463282352,136.44396551724137,94.45625,2.0945543571759413,42.19897959183673,591.375,6.993024730500951,2,1.0,806.0,173,2602.875,0.5606936416184971,1.0323980277902287,1532.625,0.5664739884393064,state_filtered,23.844501894812232
bar_best_support_reclaim_lb15_thr0.0002_hold60_short_us_late,entry_candle_up,entry_candle_sideequp,bar_best_support_reclaim_lb15_thr0.0002_hold60_short_us_late + entry_candle_up,short,94,3769.25,0.6170212765957447,1.2689397196663514,127.21120689655173,100.25,2.044402881684677,40.098404255319146,770.625,4.891159772911598,2,1.0,134.875,173,2602.875,0.5606936416184971,1.0323980277902287,1166.375,0.5433526011560693,state_filtered,21.627383227481335
bar_best_support_reclaim_lb15_thr0.0005_hold60_short_us_late,entry_candle_up,entry_candle_sideequp,bar_best_support_reclaim_lb15_thr0.0005_hold60_short_us_late + entry_candle_up,short,94,3769.25,0.6170212765957447,1.2689397196663514,127.21120689655173,100.25,2.044402881684677,40.098404255319146,770.625,4.891159772911598,2,1.0,134.875,173,2602.875,0.5606936416184971,1.0323980277902287,1166.375,0.5433526011560693,state_filtered,21.627383227481335
