strategy,families,macd_filter,macd_timeframe,stop_atr_buffer,target_r,max_hold_bars,use_risk_controls,score,trades,net_points,profit_factor,win_rate,avg_points,max_drawdown_points,worst_trade_points
long_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,2.5,30,False,1416.2138545175928,218,1732.1002938904749,2.053086497800206,0.5504587155963303,7.945414192158141,133.53679908944832,-109.4930242572409
long_bias_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,1.2,30,False,1306.0333475880134,219,1559.4314188148928,1.9488629885056943,0.5570776255707762,7.120691410113666,130.74937718502406,-109.4930242572409
long_bias_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,1.8,30,False,1303.3084985393427,218,1587.794859347512,1.9653513330338204,0.5504587155963303,7.283462657557395,133.53679908944832,-109.4930242572409
selective_bidirectional_strict_short_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,2.5,30,False,1260.1510183468017,280,1920.8862987064203,1.9140686527652258,0.5428571428571428,6.860308209665787,167.17882942346841,-109.4930242572409
selective_bidirectional_strict_short_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,1.8,30,False,1166.9376794635218,280,1771.5882582703634,1.8430240215583829,0.5428571428571428,6.3271009223941554,167.17882942346841,-109.4930242572409
selective_bidirectional_strict_short_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,1.2,30,False,1145.1887840568209,282,1736.797202140886,1.8269842203127613,0.549645390070922,6.15885532674073,167.17882942346841,-109.4930242572409
selective_bidirectional_session_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,cross_recent_5,1,1.25,2.5,30,False,992.5964549934587,322,1776.5367464660376,1.5897050390241312,0.531055900621118,5.517194864801359,198.4593753009467,-109.4930242572409
selective_bidirectional_session_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,cross_recent_5,1,1.25,1.8,30,False,952.6780378743453,322,1700.44403021178,1.5644467614807982,0.531055900621118,5.2808820814030435,198.4593753009467,-109.4930242572409
selective_bidirectional_session_macd1_cross_recent_5_stop1.25_r1.2_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,cross_recent_5,1,1.25,1.2,30,False,942.0672691049491,324,1629.3629284561612,1.5410874555218557,0.5370370370370371,5.028897927333831,192.2135381199987,-109.4930242572409
selective_bidirectional_strict_short_macd1_cross_recent_5_stop1.25_r2.5_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,2.5,60,False,909.2888959058251,259,1644.5366847693185,1.6504590252745648,0.5444015444015444,6.3495624894568286,203.8493643617985,-109.4930242572409
selective_bidirectional_strict_short_macd1_cross_recent_5_stop1.25_r1.2_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,1.2,60,False,832.2187399929692,262,1495.2917033245249,1.59173533675314,0.5534351145038168,5.7072202416966595,203.8493643617985,-109.4930242572409
selective_bidirectional_strict_short_macd1_cross_recent_5_stop1.25_r1.8_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,1.8,60,False,814.7143604813631,259,1461.2138012556607,1.5779498345552692,0.5444015444015444,5.641752128400234,203.8493643617985,-109.4930242572409
long_bias_macd1_cross_recent_5_stop1.25_r2.5_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,2.5,60,False,779.1449087309861,206,1441.380687082652,1.7088651266039296,0.5485436893203883,6.996993626614816,214.343037030314,-109.4930242572409
long_bias_macd1_cross_recent_5_stop1.25_r1.2_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,1.2,60,False,703.4735774251659,208,1307.461516090094,1.6434189696367265,0.5576923076923077,6.285872673510067,217.51482293748268,-109.4930242572409
long_bias_macd1_cross_recent_5_stop1.25_r1.8_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,1.8,60,False,702.743337114607,206,1281.5559017552114,1.6302639508695098,0.5485436893203883,6.221145154151512,213.19068496249383,-109.4930242572409
selective_bidirectional_session_macd1_cross_recent_5_stop1.25_r1.2_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,cross_recent_5,1,1.25,1.2,60,False,692.5505422985439,302,1402.464023138662,1.4049522659309828,0.5397350993377483,4.64392060641941,232.55936534951616,-109.4930242572409
selective_bidirectional_session_macd1_cross_recent_5_stop1.25_r2.5_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,cross_recent_5,1,1.25,2.5,60,False,688.4669260981403,299,1443.374956869964,1.4166073623774718,0.5317725752508361,4.827340992876134,241.32389925096504,-109.4930242572409
selective_bidirectional_session_macd1_cross_recent_5_stop1.25_r1.8_h60_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,cross_recent_5,1,1.25,1.8,60,False,673.985542630054,299,1328.6787359163864,1.3835021114801205,0.5317725752508361,4.4437415916936,226.7417944456938,-109.4930242572409
long_bias_macd5_trend_stop1.25_r1.2_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,trend,5,1.25,1.2,30,False,670.3620824902379,320,1309.4839439491843,1.4276373374458378,0.528125,4.092137324841201,224.71148707637258,-79.90994064663028
long_bias_macd5_trend_hist_stop1.25_r1.2_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,trend_hist,5,1.25,1.2,30,False,670.3620824902379,320,1309.4839439491843,1.4276373374458378,0.528125,4.092137324841201,224.71148707637258,-79.90994064663028
smc_long_bias_macd1_cross_recent_5_stop1.25_r1.8_h30_norisk,smc_discount_choch_long+smc_bos_fvg_long+smc_ob_retest_long+smc_trend_transition_long+smc_trend_pullback_long,cross_recent_5,1,1.25,1.8,30,False,669.8311848229087,370,1116.6872205075997,1.3443094254107684,0.4891891891891892,3.0180735689394584,189.47218241318114,-109.4930242572409
