strategy,families,macd_filter,macd_timeframe,stop_atr_buffer,target_r,max_hold_bars,use_risk_controls,entry_mode,min_structure_rr,entry_wait_bars,score,trades,net_points,profit_factor,win_rate,avg_points,max_drawdown_points,worst_trade_points
long_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,1416.2138545175928,218,1732.1002938904749,2.053086497800206,0.5504587155963303,7.945414192158141,133.53679908944832,-109.4930242572409
selective_bidirectional_strict_short_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,1260.1510183468017,280,1920.8862987064203,1.9140686527652258,0.5428571428571428,6.860308209665787,167.17882942346841,-109.4930242572409
selective_bidirectional_session_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+trend_pullback_short_asia_europe+trend_transition_short_asia_rth,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,992.5964549934587,322,1776.5367464660376,1.5897050390241312,0.531055900621118,5.517194864801359,198.4593753009467,-109.4930242572409
selective_bidirectional_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_ignition_long+trend_pullback_long+trend_transition_long+reversal_impulse_long+bottom_breakdown_short+trend_pullback_short+trend_transition_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,580.412865211515,376,1351.5890953873131,1.359420031883332,0.4946808510638298,3.5946518494343436,271.864652832468,-88.96885781471428
selective_bidirectional_core_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,top_breakout_long+trend_pullback_long+trend_transition_long+bottom_breakdown_short+trend_pullback_short+trend_transition_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,580.412865211515,376,1351.5890953873131,1.359420031883332,0.4946808510638298,3.5946518494343436,271.864652832468,-88.96885781471428
smc_long_bias_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,smc_discount_choch_long+smc_bos_fvg_long+smc_ob_retest_long+smc_trend_transition_long+smc_trend_pullback_long,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,551.2286235227742,370,1105.716843377566,1.3409269167039306,0.4891891891891892,2.9884239010204485,234.7753798458143,-109.4930242572409
smc_trend_filtered_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,smc_trend_transition_long+smc_trend_pullback_long+smc_trend_transition_short+smc_trend_pullback_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,495.7767073565835,375,1132.3362999781966,1.2951102342382264,0.49066666666666664,3.0195634666085245,271.864652832468,-88.96885781471428
trend_transition_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,trend_transition_long+trend_transition_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,485.2763986562903,370,1138.9946466816764,1.3037441063091753,0.4918918918918919,3.0783639099504767,280.864652832468,-88.96885781471428
smc_bos_fvg_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,smc_bos_fvg_long+smc_bos_fvg_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,456.1159252839342,251,775.3133031983525,1.3087963487456564,0.5258964143426295,3.0888976223041933,206.46254425840743,-88.96885781471428
trend_pullback_macd1_cross_recent_5_stop1.25_r2.5_h30_norisk,trend_pullback_long+trend_pullback_short,cross_recent_5,1,1.25,2.5,30,False,next_open,0.0,0,390.5306434020472,65,414.0752659011996,1.6648548987675713,0.5076923076923077,6.370388706172301,139.40807719085933,-70.78869013196163
