event_index,entry_index,lookback,direction,entry_ts,symbol,minute_of_day,range_high,range_low,range_width_atr,range_efficiency,displacement_atr,body_share,volume_z_60,event_high,event_low,atr_30,signal_ts,exit_ts,exit_index,stop_mode,reward_risk,horizon_minutes,entry_price,exit_price,exit_reason,stop_distance_points,target_distance_points,gross_points,net_points,net_dollars,r_multiple,candidate,audit_label
75675,75676,50,1,2010-08-31 20:01:00+00:00,NQU0,1200,1770.0,1757.5,7.168458781362007,0.072289156626506,3.0638297872340425,0.875,3.913426271037582,1773.5,1767.5,1.9583333333333333,2010-08-31 20:00:00+00:00,2010-09-01 01:01:00+00:00,75850,break_bar,2.5,180,1773.0,1787.375,take_profit,5.75,14.375,14.375,13.75,275.0,2.156862745098039,regime_breakout_lb50_w8_eff0.15_disp1.8_body0.6_vol0.5_us_late_long_break_bar_rr2.5_h180,optimized50_2r5_quality
248967,248968,50,1,2011-03-24 21:21:00+00:00,NQM1,1280,2309.75,2304.0,5.454545454545454,0.0222222222222222,19.141104294478527,0.8076923076923077,4.8254949061955426,2335.0,2309.0,1.3583333333333334,2011-03-24 21:20:00+00:00,2011-03-25 01:18:00+00:00,249147,break_bar,2.5,180,2326.0,2317.0,timeout,17.25,43.125,-9.0,-9.625,-192.5,-0.5384615384615384,regime_breakout_lb50_w8_eff0.15_disp1.8_body0.6_vol0.5_us_late_long_break_bar_rr2.5_h180,optimized50_2r5_quality
272242,272243,45,1,2011-04-20 20:31:00+00:00,NQM1,1230,2363.75,2351.25,9.287925696594426,0.0057971014492753,4.567164179104478,0.9803921568627452,1.237048960097975,2368.75,2356.0,2.7916666666666665,2011-04-20 20:30:00+00:00,2011-04-21 00:15:00+00:00,272422,break_bar,2.5,180,2368.75,2377.25,timeout,13.029166666666695,32.57291666666674,8.5,7.875,157.5,0.5767470247177283,regime_breakout_lb45_w10_eff0.1_disp1.6_body0.55_vol0_us_late_long_break_bar_rr2.5_h180,defensive45_2r5_loweff
290291,290292,50,1,2011-05-12 20:01:00+00:00,NQM1,1200,2406.5,2401.5,3.761755485893417,0.0077519379844961,4.186046511627907,0.75,5.3307876277143835,2409.25,2403.25,1.4333333333333331,2011-05-12 20:00:00+00:00,2011-05-13 01:09:00+00:00,290471,break_bar,2.5,180,2409.0,2405.0,timeout,6.0,15.0,-4.0,-4.625,-92.5,-0.6981132075471698,regime_breakout_lb50_w8_eff0.15_disp1.8_body0.6_vol0.5_us_late_long_break_bar_rr2.5_h180,optimized50_2r5_quality
348747,348748,50,1,2011-07-19 20:31:00+00:00,NQU1,1230,2399.75,2388.0,7.954866008462624,0.0512048192771084,6.1,0.7213114754098361,2.417513618918573,2405.0,2389.75,2.5,2011-07-19 20:30:00+00:00,2011-07-20 00:39:00+00:00,348927,break_bar,2.5,180,2401.0,2406.0,timeout,11.5,28.75,5.0,4.375,87.5,0.3608247422680412,regime_breakout_lb50_w8_eff0.15_disp1.8_body0.6_vol0.5_us_late_long_break_bar_rr2.5_h180,optimized50_2r5_quality
353733,353734,45,1,2011-07-25 20:05:00+00:00,NQU1,1204,2425.0,2418.75,4.926108374384237,0.0207468879668049,3.8333333333333335,0.9565217391304348,0.2894021086626914,2428.0,2422.25,1.5,2011-07-25 20:04:00+00:00,2011-07-25 20:30:00+00:00,353744,break_bar,2.5,180,2427.75,2422.0,stop_loss,5.75,14.375,-5.75,-6.375,-127.5,-1.0,regime_breakout_lb45_w10_eff0.1_disp1.6_body0.55_vol0_us_late_long_break_bar_rr2.5_h180,defensive45_2r5_loweff
364020,364021,50,1,2011-08-04 22:01:00+00:00,NQU1,1320,2209.25,2205.5,1.640838650865998,0.0,6.428571428571429,0.6666666666666666,2.0667260018283544,2210.5,2206.0,0.7,2011-08-04 22:00:00+00:00,2011-08-04 22:16:00+00:00,364036,break_bar,2.5,180,2210.0,2205.75,stop_loss,4.25,10.625,-4.25,-4.875,-97.5,-1.0,regime_breakout_lb50_w8_eff0.15_disp1.8_body0.6_vol0.5_us_late_long_break_bar_rr2.5_h180,optimized50_2r5_quality
385103,385104,50,1,2011-08-26 20:01:00+00:00,NQU1,1200,2161.25,2145.75,7.948717948717949,0.0517241379310344,1.959183673469388,0.9375,3.9132333705263185,2164.5,2160.5,2.0416666666666665,2011-08-26 20:00:00+00:00,2011-08-28 22:03:00+00:00,385121,break_bar,2.5,180,2164.5,2160.25,stop_loss,4.25,10.625,-4.25,-4.875,-97.5,-1.0,regime_breakout_lb50_w8_eff0.15_disp1.8_body0.6_vol0.5_us_late_long_break_bar_rr2.5_h180,optimized50_2r5_quality
429540,429541,50,1,2011-10-13 20:02:00+00:00,NQZ1,1201,2326.25,2312.25,6.787878787878788,0.0062370062370062,3.2407407407407405,0.8,5.499536897951299,2331.5,2322.75,2.7,2011-10-13 20:01:00+00:00,2011-10-13 23:55:00+00:00,429720,break_bar,2.5,180,2330.0,2326.0,timeout,7.519999999999982,18.799999999999955,-4.0,-4.625,-92.5,-0.5678330263965635,regime_breakout_lb50_w8_eff0.15_disp1.8_body0.6_vol0.5_us_late_long_break_bar_rr2.5_h180,optimized50_2r5_quality
462301,462302,50,1,2011-11-17 21:00:00+00:00,NQZ1,1259,2270.75,2259.75,4.407345575959933,0.0138339920948616,3.090909090909091,0.8823529411764706,6.435876030401785,2273.5,2265.0,2.75,2011-11-17 20:59:00+00:00,2011-11-17 23:31:00+00:00,462398,break_bar,2.5,180,2273.25,2264.725,stop_loss,8.525000000000091,21.312500000000227,-8.525000000000091,-9.150000000000093,-183.00000000000185,-1.0,regime_breakout_lb50_w8_eff0.15_disp1.8_body0.6_vol0.5_us_late_long_break_bar_rr2.5_h180,optimized50_2r5_quality
