entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_dollars,exit_reason
2020-01-02 14:27:00+00:00,2020-01-02 14:29:00+00:00,Long,8819.0,8821.0,0.0,-5.0,Time
2020-01-02 14:34:00+00:00,2020-01-02 14:35:00+00:00,Short,8856.0,8842.25,11.75,230.0,Time
2020-01-02 14:37:00+00:00,2020-01-02 14:37:00+00:00,Short,8891.5,8846.75,42.75,850.0,Time
2020-01-02 15:16:00+00:00,2020-01-02 15:18:00+00:00,Short,8811.75,8833.5,-23.75,-480.0,Time
2020-01-02 15:22:00+00:00,2020-01-02 15:23:00+00:00,Short,8811.75,8807.75,2.0,35.0,Time
2020-01-02 19:20:00+00:00,2020-01-02 19:21:00+00:00,Short,8873.25,8854.5,16.75,330.0,Time
2020-01-02 19:21:00+00:00,2020-01-02 19:23:00+00:00,Short,8872.5,8855.75,14.75,290.0,Time
2020-01-02 19:24:00+00:00,2020-01-02 19:25:00+00:00,Short,8875.25,8856.75,16.5,325.0,Time
2020-01-02 19:30:00+00:00,2020-01-02 19:32:00+00:00,Short,8877.0,8856.75,18.25,360.0,Time
2020-01-02 19:55:00+00:00,2020-01-02 19:56:00+00:00,Short,8881.0,8863.0,16.0,315.0,Time
2020-01-02 20:00:00+00:00,2020-01-02 20:02:00+00:00,Short,8882.25,8865.0,15.25,300.0,Time
2020-01-02 20:57:00+00:00,2020-01-02 20:58:00+00:00,Short,8901.75,8884.0,15.75,310.0,Time
2020-01-02 20:59:00+00:00,2020-01-02 21:00:00+00:00,Short,8906.0,8906.75,-2.75,-60.0,Time
2020-01-02 21:00:00+00:00,2020-01-02 21:01:00+00:00,Short,8906.75,8889.0,15.75,310.0,Time
2020-01-03 14:31:00+00:00,2020-01-03 14:32:00+00:00,Short,8824.75,8811.0,11.75,230.0,Time
2020-01-03 14:32:00+00:00,2020-01-03 14:33:00+00:00,Short,8824.75,8818.5,4.25,80.0,Time
2020-01-03 14:35:00+00:00,2020-01-03 14:36:00+00:00,Short,8833.5,8817.5,14.0,275.0,Time
2020-01-03 14:36:00+00:00,2020-01-03 14:38:00+00:00,Short,8839.5,8822.0,15.5,305.0,Time
2020-01-03 14:39:00+00:00,2020-01-03 14:40:00+00:00,Short,8845.0,8819.75,23.25,460.0,Time
2020-01-03 14:44:00+00:00,2020-01-03 14:46:00+00:00,Short,8858.25,8831.25,25.0,495.0,Time
2020-01-03 18:35:00+00:00,2020-01-03 18:37:00+00:00,Long,8835.0,8841.75,4.75,90.0,Time
2020-01-03 18:37:00+00:00,2020-01-03 18:39:00+00:00,Long,8818.0,8831.5,11.5,225.0,Time
2020-01-03 20:01:00+00:00,2020-01-03 20:02:00+00:00,Short,8859.5,8865.75,-8.25,-170.0,Time
2020-01-03 20:02:00+00:00,2020-01-03 20:03:00+00:00,Short,8865.75,8848.5,15.25,300.0,Time
2020-01-03 20:03:00+00:00,2020-01-03 20:04:00+00:00,Short,8865.0,8865.0,-2.0,-45.0,Time
2020-01-03 20:04:00+00:00,2020-01-03 20:05:00+00:00,Short,8865.0,8863.5,-0.5,-15.0,Time
2020-01-06 14:31:00+00:00,2020-01-06 14:32:00+00:00,Short,8770.5,8779.25,-10.75,-220.0,Time
2020-01-06 14:32:00+00:00,2020-01-06 15:02:00+00:00,Short,8779.25,8814.75,-37.5,-755.0,Time
2020-01-06 15:02:00+00:00,2020-01-06 15:03:00+00:00,Short,8814.75,8800.75,12.0,235.0,Time
2020-01-06 15:03:00+00:00,2020-01-06 15:05:00+00:00,Short,8817.5,8800.75,14.75,290.0,Time
2020-01-06 15:10:00+00:00,2020-01-06 15:12:00+00:00,Short,8821.5,8807.25,12.25,240.0,Time
2020-01-06 15:46:00+00:00,2020-01-06 15:48:00+00:00,Short,8841.5,8845.0,-5.5,-115.0,Time
2020-01-06 15:48:00+00:00,2020-01-06 15:49:00+00:00,Short,8845.0,8827.25,15.75,310.0,Time
2020-01-06 16:09:00+00:00,2020-01-06 16:10:00+00:00,Short,8844.75,8831.5,11.25,220.0,Time
2020-01-06 20:52:00+00:00,2020-01-06 20:53:00+00:00,Short,8876.25,8880.5,-6.25,-130.0,Time
2020-01-06 20:53:00+00:00,2020-01-06 20:54:00+00:00,Short,8880.5,8862.75,15.75,310.0,Time
2020-01-06 20:55:00+00:00,2020-01-06 20:57:00+00:00,Short,8878.5,8861.0,15.5,305.0,Time
2020-01-06 20:59:00+00:00,2020-01-06 21:00:00+00:00,Short,8882.0,8886.75,-6.75,-140.0,Time
2020-01-06 21:00:00+00:00,2020-01-06 21:01:00+00:00,Short,8886.75,8872.25,12.5,245.0,Time
2020-01-07 13:52:00+00:00,2020-01-07 13:54:00+00:00,Long,8854.5,8858.5,2.0,35.0,Time
2020-01-07 14:35:00+00:00,2020-01-07 14:37:00+00:00,Short,8894.25,8868.5,23.75,470.0,Time
2020-01-07 14:40:00+00:00,2020-01-07 14:42:00+00:00,Long,8841.25,8840.75,-2.5,-55.0,Time
2020-01-07 14:42:00+00:00,2020-01-07 14:44:00+00:00,Long,8840.75,8837.25,-5.5,-115.0,Time
2020-01-07 14:44:00+00:00,2020-01-07 14:45:00+00:00,Long,8837.25,8839.0,-0.25,-10.0,Time
2020-01-07 15:57:00+00:00,2020-01-07 15:58:00+00:00,Short,8892.0,8876.0,14.0,275.0,Time
2020-01-07 16:00:00+00:00,2020-01-07 16:01:00+00:00,Short,8895.75,8896.5,-2.75,-60.0,Time
2020-01-07 16:01:00+00:00,2020-01-07 16:03:00+00:00,Short,8896.5,8901.0,-6.5,-135.0,Time
2020-01-07 16:03:00+00:00,2020-01-07 16:04:00+00:00,Short,8901.0,8882.25,16.75,330.0,Time
2020-01-08 14:46:00+00:00,2020-01-08 14:47:00+00:00,Short,8899.5,8879.5,18.0,355.0,Time
2020-01-08 14:48:00+00:00,2020-01-08 14:50:00+00:00,Short,8899.0,8879.75,17.25,340.0,Time
2020-01-08 14:54:00+00:00,2020-01-08 14:55:00+00:00,Short,8905.5,8893.75,9.75,190.0,Time
2020-01-08 14:56:00+00:00,2020-01-08 14:57:00+00:00,Short,8912.25,8893.25,17.0,335.0,Time
2020-01-08 14:57:00+00:00,2020-01-08 14:59:00+00:00,Short,8911.0,8906.0,3.0,55.0,Time
2020-01-08 18:43:00+00:00,2020-01-08 18:44:00+00:00,Short,8960.75,8942.0,16.75,330.0,Time
2020-01-08 20:07:00+00:00,2020-01-08 20:09:00+00:00,Short,8975.75,8958.0,15.75,310.0,Time
