strategy,period,trades,start_equity,end_equity,net_profit,return,profit_factor,win_rate,max_drawdown
Lightglow V2 Non-Kill Zone,2015-08,3,25000.0,25515.0,515.0,0.0206,999.0,1.0,0.0
Lightglow V2 Non-Kill Zone,2015-09,1,25515.0,25615.0,100.0,0.004,999.0,1.0,0.0
Lightglow V2 Non-Kill Zone,2016-06,11,25615.0,25405.0,-210.0,-0.0084,0.832,0.6363636363636364,820.0
Lightglow V2 Non-Kill Zone,2016-11,22,25405.0,23645.0,-1760.0,-0.0704,0.375886524822695,0.4090909090909091,1910.0
Lightglow V2 Non-Kill Zone,2017-07,2,23645.0,23000.0,-645.0,-0.0258,0.0,0.0,645.0
Lightglow V2 Non-Kill Zone,2017-12,24,23000.0,22290.0,-710.0,-0.0284,0.0,0.0,710.0
Lightglow V2 Non-Kill Zone,2018-02,90,22290.0,16345.0,-5945.0,-0.2378,0.36143931256713213,0.28888888888888886,6075.0
Lightglow V2 Non-Kill Zone,2018-03,37,16345.0,15420.0,-925.0,-0.037,0.3707482993197279,0.13513513513513514,1000.0
Lightglow V2 Non-Kill Zone,2018-04,23,15420.0,16930.0,1510.0,0.0604,4.318681318681318,0.6086956521739131,155.0
Lightglow V2 Non-Kill Zone,2018-06,42,16930.0,15695.0,-1235.0,-0.0494,0.13333333333333333,0.16666666666666666,1240.0
Lightglow V2 Non-Kill Zone,2018-09,55,15695.0,14030.0,-1665.0,-0.0666,0.014792899408284023,0.09090909090909091,1665.0
Lightglow V2 Non-Kill Zone,2018-10,52,14030.0,12790.0,-1240.0,-0.0496,0.7613089509143407,0.46153846153846156,1740.0
Lightglow V2 Non-Kill Zone,2018-11,33,12790.0,11555.0,-1235.0,-0.0494,0.6022544283413849,0.5151515151515151,1265.0
Lightglow V2 Non-Kill Zone,2018-12,122,11555.0,3230.0,-8325.0,-0.333,0.3536490683229814,0.3442622950819672,8435.0
Lightglow V2 Non-Kill Zone,2019-01,14,3230.0,2575.0,-655.0,-0.0262,0.5019011406844106,0.42857142857142855,1065.0
Lightglow V2 Non-Kill Zone,2019-03,35,2575.0,1640.0,-935.0,-0.0374,0.22406639004149378,0.2,935.0
Lightglow V2 Non-Kill Zone,2019-05,8,1640.0,1955.0,315.0,0.0126,1.4405594405594406,0.5,480.0
Lightglow V2 Non-Kill Zone,2019-06,61,1955.0,540.0,-1415.0,-0.0566,0.3711111111111111,0.16393442622950818,1645.0
Lightglow V2 Non-Kill Zone,2019-08,31,540.0,1320.0,780.0,0.0312,1.248012718600954,0.5483870967741935,1235.0
Lightglow V2 Non-Kill Zone,2019-09,38,1320.0,1125.0,-195.0,-0.0078,0.8361344537815126,0.23684210526315788,610.0
Lightglow V2 Non-Kill Zone,2019-10,2,1125.0,1195.0,70.0,0.0028,1.3888888888888888,0.5,180.0
Lightglow V2 Non-Kill Zone,2019-11,1,1195.0,1275.0,80.0,0.0032,999.0,1.0,0.0
Lightglow V2 Non-Kill Zone,2019-12,80,1275.0,-1005.0,-2280.0,-0.0912,0.04801670146137787,0.075,2280.0
Lightglow V2 Non-Kill Zone,2020-01,26,-1005.0,-1210.0,-205.0,-0.0082,0.8870523415977961,0.5,925.0
Lightglow V2 Non-Kill Zone,2020-02,140,-1210.0,-3870.0,-2660.0,-0.1064,0.8014184397163121,0.44285714285714284,4255.0
Lightglow V2 Non-Kill Zone,2020-03,939,-3870.0,-44225.0,-40355.0,-1.6142,0.659034261332432,0.4206602768903088,41260.0
Lightglow V2 Non-Kill Zone,2020-04,194,-44225.0,-50370.0,-6145.0,-0.2458,0.6794470526864893,0.4690721649484536,8315.0
