strategy,period,trades,start_equity,end_equity,net_profit,return,profit_factor,win_rate,max_drawdown
Lightglow V2 Non-Kill Zone,2015-08,3,25000.0,25051.5,51.5,0.00206,999.0,1.0,0.0
Lightglow V2 Non-Kill Zone,2015-09,1,25051.5,25061.5,10.0,0.0004,999.0,1.0,0.0
Lightglow V2 Non-Kill Zone,2016-06,11,25061.5,25040.5,-21.0,-0.00084,0.832,0.6363636363636364,82.0
Lightglow V2 Non-Kill Zone,2016-11,22,25040.5,24864.5,-176.0,-0.00704,0.375886524822695,0.4090909090909091,191.0
Lightglow V2 Non-Kill Zone,2017-07,2,24864.5,24800.0,-64.5,-0.00258,0.0,0.0,64.5
Lightglow V2 Non-Kill Zone,2017-12,24,24800.0,24729.0,-71.0,-0.00284,0.0,0.0,71.0
Lightglow V2 Non-Kill Zone,2018-02,90,24729.0,24134.5,-594.5,-0.02378,0.36143931256713213,0.28888888888888886,607.5
Lightglow V2 Non-Kill Zone,2018-03,37,24134.5,24042.0,-92.5,-0.0037,0.3707482993197279,0.13513513513513514,100.0
Lightglow V2 Non-Kill Zone,2018-04,23,24042.0,24193.0,151.0,0.00604,4.318681318681318,0.6086956521739131,15.5
Lightglow V2 Non-Kill Zone,2018-06,42,24193.0,24069.5,-123.5,-0.00494,0.13333333333333333,0.16666666666666666,124.0
Lightglow V2 Non-Kill Zone,2018-09,55,24069.5,23903.0,-166.5,-0.00666,0.014792899408284023,0.09090909090909091,166.5
Lightglow V2 Non-Kill Zone,2018-10,52,23903.0,23779.0,-124.0,-0.00496,0.7613089509143407,0.46153846153846156,174.0
Lightglow V2 Non-Kill Zone,2018-11,33,23779.0,23655.5,-123.5,-0.00494,0.6022544283413849,0.5151515151515151,126.5
Lightglow V2 Non-Kill Zone,2018-12,122,23655.5,22823.0,-832.5,-0.0333,0.3536490683229814,0.3442622950819672,843.5
Lightglow V2 Non-Kill Zone,2019-01,14,22823.0,22757.5,-65.5,-0.00262,0.5019011406844106,0.42857142857142855,106.5
Lightglow V2 Non-Kill Zone,2019-03,35,22757.5,22664.0,-93.5,-0.00374,0.22406639004149378,0.2,93.5
Lightglow V2 Non-Kill Zone,2019-05,8,22664.0,22695.5,31.5,0.00126,1.4405594405594406,0.5,48.0
Lightglow V2 Non-Kill Zone,2019-06,61,22695.5,22554.0,-141.5,-0.00566,0.3711111111111111,0.16393442622950818,164.5
Lightglow V2 Non-Kill Zone,2019-08,31,22554.0,22632.0,78.0,0.00312,1.248012718600954,0.5483870967741935,123.5
Lightglow V2 Non-Kill Zone,2019-09,38,22632.0,22612.5,-19.5,-0.00078,0.8361344537815126,0.23684210526315788,61.0
Lightglow V2 Non-Kill Zone,2019-10,2,22612.5,22619.5,7.0,0.00028,1.3888888888888888,0.5,18.0
Lightglow V2 Non-Kill Zone,2019-11,1,22619.5,22627.5,8.0,0.00032,999.0,1.0,0.0
Lightglow V2 Non-Kill Zone,2019-12,80,22627.5,22399.5,-228.0,-0.00912,0.04801670146137787,0.075,228.0
Lightglow V2 Non-Kill Zone,2020-01,26,22399.5,22379.0,-20.5,-0.00082,0.8870523415977961,0.5,92.5
Lightglow V2 Non-Kill Zone,2020-02,140,22379.0,22113.0,-266.0,-0.01064,0.8014184397163121,0.44285714285714284,425.5
Lightglow V2 Non-Kill Zone,2020-03,939,22113.0,18077.5,-4035.5,-0.16142,0.659034261332432,0.4206602768903088,4126.0
Lightglow V2 Non-Kill Zone,2020-04,194,18077.5,17463.0,-614.5,-0.02458,0.6794470526864893,0.4690721649484536,831.5
Lightglow V2 Non-Kill Zone,2020-05,42,17463.0,17468.0,5.0,0.0002,1.01841620626151,0.5952380952380952,120.0
Lightglow V2 Non-Kill Zone,2020-06,101,17468.0,17578.5,110.5,0.00442,1.163946587537092,0.5445544554455446,159.0
Lightglow V2 Non-Kill Zone,2020-07,88,17578.5,17233.5,-345.0,-0.0138,0.6254071661237784,0.4318181818181818,436.0
Lightglow V2 Non-Kill Zone,2020-08,36,17233.5,16945.0,-288.5,-0.01154,0.40454076367389064,0.4444444444444444,358.0
Lightglow V2 Non-Kill Zone,2020-09,409,16945.0,15715.5,-1229.5,-0.04918,0.6759783897746738,0.4718826405867971,1342.5
Lightglow V2 Non-Kill Zone,2020-10,138,15715.5,15617.0,-98.5,-0.00394,0.8976623376623377,0.4782608695652174,265.5
Lightglow V2 Non-Kill Zone,2020-11,237,15617.0,14588.5,-1028.5,-0.04114,0.6607290120402441,0.46835443037974683,1177.5
Lightglow V2 Non-Kill Zone,2020-12,38,14588.5,14540.5,-48.0,-0.00192,0.822550831792976,0.42105263157894735,151.0
Lightglow V2 Non-Kill Zone,2021-01,146,14540.5,13713.0,-827.5,-0.0331,0.5847967887606623,0.4383561643835616,931.5
Lightglow V2 Non-Kill Zone,2021-02,227,13713.0,13385.0,-328.0,-0.01312,0.8526173893507077,0.44052863436123346,348.5
Lightglow V2 Non-Kill Zone,2021-03,330,13385.0,12611.0,-774.0,-0.03096,0.7336545079146594,0.4727272727272727,891.0
Lightglow V2 Non-Kill Zone,2021-04,23,12611.0,12480.0,-131.0,-0.00524,0.5760517799352751,0.391304347826087,175.5
Lightglow V2 Non-Kill Zone,2021-05,86,12480.0,12226.5,-253.5,-0.01014,0.6954954954954955,0.47674418604651164,416.5
Lightglow V2 Non-Kill Zone,2021-06,12,12226.5,12382.5,156.0,0.00624,7.933333333333334,0.9166666666666666,22.5
Lightglow V2 Non-Kill Zone,2021-07,50,12382.5,12429.0,46.5,0.00186,1.1565656565656566,0.52,89.0
Lightglow V2 Non-Kill Zone,2021-08,14,12429.0,12325.0,-104.0,-0.00416,0.30666666666666664,0.2857142857142857,104.0
Lightglow V2 Non-Kill Zone,2021-09,76,12325.0,12307.5,-17.5,-0.0007,0.972,0.4473684210526316,283.0
Lightglow V2 Non-Kill Zone,2021-10,71,12307.5,12182.0,-125.5,-0.00502,0.7728506787330317,0.4647887323943662,207.0
Lightglow V2 Non-Kill Zone,2021-11,111,12182.0,11994.5,-187.5,-0.0075,0.8412362404741744,0.4774774774774775,360.0
Lightglow V2 Non-Kill Zone,2021-12,236,11994.5,11226.0,-768.5,-0.03074,0.6726304579339724,0.4194915254237288,814.0
Lightglow V2 Non-Kill Zone,2022-01,529,11226.0,9133.0,-2093.0,-0.08372,0.6547628865979381,0.44612476370510395,2317.0
Lightglow V2 Non-Kill Zone,2022-02,423,9133.0,8141.5,-991.5,-0.03966,0.7869803416048985,0.5035460992907801,1120.0
Lightglow V2 Non-Kill Zone,2022-03,447,8141.5,7309.0,-832.5,-0.0333,0.8154306617891587,0.4608501118568233,860.5
Lightglow V2 Non-Kill Zone,2022-04,328,7309.0,6754.5,-554.5,-0.02218,0.8185239731631484,0.4634146341463415,685.0
Lightglow V2 Non-Kill Zone,2022-05,452,6754.5,5662.5,-1092.0,-0.04368,0.774100124120811,0.48451327433628316,1322.0
Lightglow V2 Non-Kill Zone,2022-06,366,5662.5,4559.0,-1103.5,-0.04414,0.6868170852845182,0.4453551912568306,1236.5
Lightglow V2 Non-Kill Zone,2022-07,167,4559.0,3773.5,-785.5,-0.03142,0.6037831021437579,0.4550898203592814,824.5
Lightglow V2 Non-Kill Zone,2022-08,142,3773.5,3407.0,-366.5,-0.01466,0.7046736502820307,0.4507042253521127,419.5
Lightglow V2 Non-Kill Zone,2022-09,430,3407.0,2205.0,-1202.0,-0.04808,0.6651810584958218,0.4255813953488372,1365.0
Lightglow V2 Non-Kill Zone,2022-10,322,2205.0,2655.0,450.0,0.018,1.1546657501288882,0.4782608695652174,606.0
Lightglow V2 Non-Kill Zone,2022-11,111,2655.0,2338.5,-316.5,-0.01266,0.7002840909090909,0.42342342342342343,540.5
Lightglow V2 Non-Kill Zone,2022-12,338,2338.5,633.0,-1705.5,-0.06822,0.2840050377833753,0.27218934911242604,1735.0
Lightglow V2 Non-Kill Zone,2023-01,99,633.0,691.5,58.5,0.00234,1.0978260869565217,0.494949494949495,192.5
Lightglow V2 Non-Kill Zone,2023-02,108,691.5,268.0,-423.5,-0.01694,0.6420118343195266,0.4166666666666667,583.0
Lightglow V2 Non-Kill Zone,2023-03,240,268.0,-595.5,-863.5,-0.03454,0.5718889439762023,0.42916666666666664,985.0
Lightglow V2 Non-Kill Zone,2023-04,13,-595.5,-705.5,-110.0,-0.0044,0.40217391304347827,0.46153846153846156,131.0
Lightglow V2 Non-Kill Zone,2023-05,35,-705.5,-732.5,-27.0,-0.00108,0.8884297520661157,0.6285714285714286,76.0
Lightglow V2 Non-Kill Zone,2023-06,398,-732.5,-1825.5,-1093.0,-0.04372,0.40982721382289417,0.26884422110552764,1253.0
Lightglow V2 Non-Kill Zone,2023-07,65,-1825.5,-1975.0,-149.5,-0.00598,0.7733131159969674,0.46153846153846156,199.0
Lightglow V2 Non-Kill Zone,2023-08,73,-1975.0,-2095.5,-120.5,-0.00482,0.8115715402658327,0.4520547945205479,185.0
Lightglow V2 Non-Kill Zone,2023-09,281,-2095.5,-2729.0,-633.5,-0.02534,0.4974216580721936,0.302491103202847,709.5
Lightglow V2 Non-Kill Zone,2023-10,203,-2729.0,-3484.5,-755.5,-0.03022,0.5758001122964627,0.4187192118226601,930.0
Lightglow V2 Non-Kill Zone,2023-11,24,-3484.5,-3583.0,-98.5,-0.00394,0.6129666011787819,0.75,158.5
Lightglow V2 Non-Kill Zone,2023-12,342,-3583.0,-4462.0,-879.0,-0.03516,0.385099685204617,0.2046783625730994,1012.5
Lightglow V2 Non-Kill Zone,2024-01,84,-4462.0,-4612.0,-150.0,-0.006,0.7576736672051696,0.4523809523809524,246.0
Lightglow V2 Non-Kill Zone,2024-02,85,-4612.0,-5016.5,-404.5,-0.01618,0.5282798833819242,0.4,426.5
Lightglow V2 Non-Kill Zone,2024-03,381,-5016.5,-5931.0,-914.5,-0.03658,0.5351969504447268,0.30708661417322836,1014.0
Lightglow V2 Non-Kill Zone,2024-04,229,-5931.0,-7475.5,-1544.5,-0.06178,0.446911369740376,0.3624454148471616,1585.0
Lightglow V2 Non-Kill Zone,2024-05,46,-7475.5,-7602.0,-126.5,-0.00506,0.7685269899359561,0.4782608695652174,269.0
Lightglow V2 Non-Kill Zone,2024-06,445,-7602.0,-8939.5,-1337.5,-0.0535,0.3991464510332435,0.2292134831460674,1487.0
Lightglow V2 Non-Kill Zone,2024-07,256,-8939.5,-8967.5,-28.0,-0.00112,0.9862136878385032,0.4609375,318.5
Lightglow V2 Non-Kill Zone,2024-08,409,-8967.5,-11695.0,-2727.5,-0.1091,0.5789270551910459,0.43765281173594134,2786.0
Lightglow V2 Non-Kill Zone,2024-09,517,-11695.0,-13588.0,-1893.0,-0.07572,0.5035405192761605,0.34235976789168276,1947.0
Lightglow V2 Non-Kill Zone,2024-10,155,-13588.0,-13959.5,-371.5,-0.01486,0.7458960328317373,0.3870967741935484,576.0
Lightglow V2 Non-Kill Zone,2024-11,259,-13959.5,-14439.5,-480.0,-0.0192,0.7926117952041478,0.4864864864864865,632.5
Lightglow V2 Non-Kill Zone,2024-12,526,-14439.5,-16103.5,-1664.0,-0.06656,0.5299435028248588,0.3288973384030418,1693.5
Lightglow V2 Non-Kill Zone,2025-01,340,-16103.5,-17867.0,-1763.5,-0.07054,0.5751626114189352,0.4647058823529412,1879.5
Lightglow V2 Non-Kill Zone,2025-02,212,-17867.0,-18045.0,-178.0,-0.00712,0.9032082653616096,0.4669811320754717,554.5
Lightglow V2 Non-Kill Zone,2025-03,656,-18045.0,-20641.5,-2596.5,-0.10386,0.6276351642047899,0.4100609756097561,2599.0
Lightglow V2 Non-Kill Zone,2025-04,752,-20641.5,-23310.0,-2668.5,-0.10674,0.8115466101694915,0.4308510638297872,2764.5
Lightglow V2 Non-Kill Zone,2025-05,318,-23310.0,-24843.5,-1533.5,-0.06134,0.5916111850865513,0.4371069182389937,1557.5
Lightglow V2 Non-Kill Zone,2025-06,289,-24843.5,-26069.5,-1226.0,-0.04904,0.585950692333671,0.43252595155709345,1273.5
Lightglow V2 Non-Kill Zone,2025-07,54,-26069.5,-26770.5,-701.0,-0.02804,0.22024471635150167,0.35185185185185186,701.0
