strategy,period,trades,start_equity,end_equity,net_profit,return,profit_factor,win_rate,max_drawdown
Lightglow V2 Non-Kill Zone,2015,4,25000.0,25061.5,61.5,0.00246,999.0,1.0,0.0
Lightglow V2 Non-Kill Zone,2016,33,25061.5,24864.5,-197.0,-0.00788,0.515970515970516,0.48484848484848486,250.5
Lightglow V2 Non-Kill Zone,2017,26,24864.5,24729.0,-135.5,-0.00542,0.0,0.0,135.5
Lightglow V2 Non-Kill Zone,2018,454,24729.0,22823.0,-1906.0,-0.07624,0.46355192794821276,0.30837004405286345,1917.0
Lightglow V2 Non-Kill Zone,2019,270,22823.0,22399.5,-423.5,-0.01694,0.6583299717628076,0.22592592592592592,439.0
Lightglow V2 Non-Kill Zone,2020,2388,22399.5,14540.5,-7859.0,-0.31436,0.6940058792610041,0.45268006700167507,7918.5
Lightglow V2 Non-Kill Zone,2021,1382,14540.5,11226.0,-3314.5,-0.13258,0.7534129375441729,0.4558610709117221,3336.5
Lightglow V2 Non-Kill Zone,2022,4055,11226.0,633.0,-10593.0,-0.42372,0.7338542517241813,0.44512946979038226,10610.0
Lightglow V2 Non-Kill Zone,2023,1881,633.0,-4462.0,-5095.0,-0.2038,0.5789430188835172,0.3471557682083998,5406.0
Lightglow V2 Non-Kill Zone,2024,3392,-4462.0,-16103.5,-11641.5,-0.46566,0.593622368834433,0.3623231132075472,11767.0
Lightglow V2 Non-Kill Zone,2025,4533,-16103.5,-31474.5,-15371.0,-0.61484,0.7092240172524686,0.4297374806971101,15786.5
Lightglow V2 Non-Kill Zone,2026,2349,-31474.5,-36851.5,-5377.0,-0.21508,0.7829316539501837,0.46317581949765857,5483.0
Premium/Discount Long 1m,2010,5379,25000.0,8830.5,-16169.5,-0.64678,0.01474575754806081,0.02788622420524261,16169.5
Premium/Discount Long 1m,2011,10251,8830.5,-22528.0,-31358.5,-1.25434,0.028742663342263795,0.044190810652619254,31358.5
Premium/Discount Long 1m,2012,9823,-22528.0,-51809.5,-29281.5,-1.17126,0.01804188534348329,0.029217143438867964,29281.5
Premium/Discount Long 1m,2013,9709,-51809.5,-81194.5,-29385.0,-1.1754,0.012219103484209288,0.024204346482644967,29385.0
Premium/Discount Long 1m,2014,8577,-81194.5,-107065.5,-25871.0,-1.03484,0.05357502149219879,0.06727293925615017,25871.0
Premium/Discount Long 1m,2015,9066,-107065.5,-134535.5,-27470.0,-1.0988,0.08988503462213829,0.09750716964482682,27472.5
Premium/Discount Long 1m,2016,10050,-134535.5,-164438.0,-29902.5,-1.1961,0.08478077894253577,0.08925373134328358,29902.5
Premium/Discount Long 1m,2017,7683,-164438.0,-187837.0,-23399.0,-0.93596,0.06812162727254625,0.07249772224391514,23401.5
Premium/Discount Long 1m,2018,9170,-187837.0,-216684.0,-28847.0,-1.15388,0.263618726706489,0.20621592148309706,28898.0
Premium/Discount Long 1m,2019,7885,-216684.0,-240617.0,-23933.0,-0.95732,0.19179400590966653,0.1833861762840837,23937.0
Premium/Discount Long 1m,2020,7673,-240617.0,-265382.0,-24765.0,-0.9906,0.5192475685749228,0.35527173204743906,24765.0
Premium/Discount Long 1m,2021,7400,-265382.0,-286765.5,-21383.5,-0.85534,0.5226151407586007,0.3505405405405405,21397.0
Premium/Discount Long 1m,2022,10688,-286765.5,-320215.0,-33449.5,-1.33798,0.5534767924603863,0.37958458083832336,33474.5
Premium/Discount Long 1m,2023,9890,-320215.0,-348468.5,-28253.5,-1.13014,0.4216451900146362,0.2994944388270981,28317.5
Premium/Discount Long 1m,2024,8377,-348468.5,-375998.0,-27529.5,-1.10118,0.5036644400573329,0.3375910230392742,27694.5
Premium/Discount Long 1m,2025,8495,-375998.0,-402662.0,-26664.0,-1.06656,0.6161216248317365,0.3828134196586227,26684.5
Premium/Discount Long 1m,2026,3110,-402662.0,-411217.0,-8555.0,-0.3422,0.6696145825287712,0.4067524115755627,8652.0
